
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:81             0.0.0.0:0              LISTENING
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:443            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:554            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2222           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2376           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3001           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3002           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3003           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5000           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:6379           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:8001           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:8081           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:9090           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:9093           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:9100           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:10243          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49671          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:57621          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:64872          0.0.0.0:0              LISTENING
  TCP    100.83.247.14:445      100.110.238.68:49520   ESTABLISHED
  TCP    100.83.247.14:9009     0.0.0.0:0              LISTENING
  TCP    100.83.247.14:37766    0.0.0.0:0              LISTENING
  TCP    100.83.247.14:54233    100.110.238.68:445     ESTABLISHED
  TCP    100.83.247.14:54588    100.106.235.103:49669  ESTABLISHED
  TCP    100.83.247.14:54589    100.106.235.103:49669  ESTABLISHED
  TCP    100.83.247.14:54853    100.106.235.103:49669  ESTABLISHED
