"TaskName","State","LastRun","NextRun","Action","Args","ActionExists","ArgExists","MissingPath"
"VOID Pirate Fleet Orders","Ready","8/18/2026 11:19:19",,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","-NoProfile -WindowStyle Hidden -ExecutionPolicy Bypass -File ""C:\Users\kidsm\Documents\My Docs\VOID Pirate Trading Co\PROJECT_capta1n_orchestrat0r\RUN_FLEET_AUTOMATION.ps1""","True","False","C:\Users\kidsm\Documents\My Docs\VOID Pirate Trading Co\PROJECT_capta1n_orchestrat0r\RUN_FLEET_AUTOMATION.ps1"
"VOID Pirate PM Audit","Ready","8/18/2026 11:19:19",,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","-NoProfile -WindowStyle Hidden -ExecutionPolicy Bypass -File ""C:\Users\kidsm\Documents\My Docs\VOID Pirate Trading Co\PROJECT_tr3asure_mAp\tr3asure_mAp\scripts\quill_tools\obsidian_link_audit_runner.ps1""","True","True",""
"VOID_AutoArchive_Trello","Disabled","11/30/1999 00:00:00","8/22/2026 03:00:00","C:/Users/kidsm/AppData/Local/hermes/hermes-agent/venv/Scripts/pythonw.exe","C:/Users/kidsm/Documents/My Docs/VOID Pirate Trading Co/Obsidian_Vault/Developer_Brain/02_Business_Operations/Infrastructure/scripts/auto_archive_done.py","True","True",""
"Void_Daily_OODA_Loop","Ready","8/21/2026 06:00:00","8/22/2026 06:00:00","C:\Users\kidsm\AppData\Local\hermes\hermes-agent\venv\Scripts\pythonw.exe","C:\VOID\run_py.py ""C:\Users\kidsm\Documents\My Docs\VOID Pirate Trading Co\Obsidian_Vault\_Hub\scripts\ooda_loop_automation.py"" ""C:\Users\kidsm\Documents\My Docs\VOID Pirate Trading Co\Obsidian_Vault""","True","True",""
"Void_Daily_Smart_Verify","Ready","8/18/2026 11:19:19",,"C:\Users\kidsm\AppData\Local\hermes\hermes-agent\venv\Scripts\pythonw.exe","C:\VOID\run_py.py ""C:\Users\kidsm\Documents\My Docs\VOID Pirate Trading Co\Obsidian_Vault\_Hub\scripts\smart_review_verifier.py"" ""C:\Users\kidsm\Documents\My Docs\VOID Pirate Trading Co\Obsidian_Vault""","True","False","C:\Users\kidsm\Documents\My Docs\VOID Pirate Trading Co\Obsidian_Vault\_Hub\scripts\smart_review_verifier.py"
"Void_Daily_Vault_Check","Ready","8/18/2026 11:19:19",,"C:\Users\kidsm\AppData\Local\hermes\hermes-agent\venv\Scripts\pythonw.exe","C:\VOID\run_py.py ""C:\Users\kidsm\Documents\My Docs\VOID Pirate Trading Co\Obsidian_Vault\_Hub\scripts\vault_integrity_check.py"" ""C:\Users\kidsm\Documents\My Docs\VOID Pirate Trading Co\Obsidian_Vault""","True","False","C:\Users\kidsm\Documents\My Docs\VOID Pirate Trading Co\Obsidian_Vault\_Hub\scripts\vault_integrity_check.py"
"VOID_DiscordPriorityAlerts","Ready","8/21/2026 06:00:00","8/22/2026 06:00:00","C:\Python314\pythonw.exe","C:\Users\kidsm\Documents\My Docs\VOID Pirate Trading Co\Obsidian_Vault\Developer_Brain\02_Business_Operations\Infrastructure\scripts\discord_priority_alerts.py","True","True",""
"VOID_FleetDockerBalance","Ready","8/9/2026 23:30:30",,"C:\Users\kidsm\AppData\Local\hermes\hermes-agent\venv\Scripts\pythonw.exe","C:\VOID\fleet_docker_balance_launcher.py","True","True",""
"VOID_FleetDockerMonitor","Ready","8/9/2026 23:55:55",,"C:\Users\kidsm\AppData\Local\hermes\hermes-agent\venv\Scripts\pythonw.exe","C:\VOID\fleet_docker_monitor_launcher.py","True","True",""
"VOID_FleetGuardian","Ready","8/9/2026 23:50:50",,"C:\Users\kidsm\AppData\Local\hermes\hermes-agent\venv\Scripts\pythonw.exe","C:\VOID\fleet_guardian_launcher.py","True","True",""
